"table","legacy_field","curated_field","curated_type","sentinel_rows","vocab_candidates","sentinel_no_vocab","already_in_known_issues","already_in_issue_report","already_self_documented","in_spreadsheet","spreadsheet_conflict"
"HH","Month","Month","enum",0,2,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","Netopening","NetOpening","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","PelSampType","PelagicSamplingType","enum",145958,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","Quarter","Quarter","enum",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HH","RecordType","RecordHeader","enum",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","Rigging","Rigging","enum",95487,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","SecchiDepth","SecchiDepth","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","Ship","Platform","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HH","ShootLat","ShootLatitude","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","ShootLong","ShootLongitude","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","SpeedWater","SpeedWater","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","StNo","StationName","string",6899,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","StatRec","StatisticalRectangle","string",12235,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","StdSpecRecCode","StandardSpeciesCode","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","SurCurDir","SurfaceCurrentDirection","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","SurCurSpeed","SurfaceCurrentSpeed","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","SurSal","SurfaceSalinity","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","SurTemp","SurfaceTemperature","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","Survey","Survey","string",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HH","SweepLngt","SweepLength","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","SwellDir","SwellDirection","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","SwellHeight","SwellHeight","number(quantity)",0,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","ThClineDepth","ThermoClineDepth","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","ThermoCline","ThermoCline","enum",144726,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","Tickler","Tickler","enum",0,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","TidePhase","TidePhase","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","TideSpeed","TideSpeed","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","TimeShot","StartTime","string",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","TowDir","TowDirection","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Turbidity","Turbidity","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","WarpDen","WarpDensity","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Warpdia","WarpDiameter","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Warplngt","WarpLength","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","WgtGroundRope","GroundRopeWeight","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","WindDir","WindDirection","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","WindSpeed","WindSpeed","number(quantity)",0,0,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"HH","WingSpread","WingSpread","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Year","Year","number(ordinal)",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
"HL","CatCatchWgt","SpeciesCategoryWeight","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HL","CatIdentifier","SpeciesCategory","enum",0,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HL","Country","Country","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HL","DateofCalculation","DateofCalculation","number(ordinal)",0,0,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"HL","DevStage","DevelopmentStage","enum",13727079,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HL","DoorType","DoorType","enum",5615516,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HL","Gear","Gear","enum",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HL","GearEx","GearExceptions","enum",9070457,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HL","HLNoAtLngt","NumberAtLength","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","HaulNo","HaulNumber","number(ordinal)",0,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HL","LenMeasType","LengthType","enum",9846308,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HL","LngtClass","LengthClass","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","LngtCode","LengthCode","enum",370658,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HL","NoMeas","SubsampledNumber","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","Quarter","Quarter","enum",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HL","RecordType","RecordHeader","enum",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HL","Sex","SpeciesSex","enum",7695932,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HL","Ship","Platform","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HL","SpecCode","SpeciesCode","number(id)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
"HL","SpecCodeType","SpeciesCodeType","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HL","SpecVal","SpeciesValidity","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HL","StNo","StationName","string",572537,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HL","SubFactor","SubsamplingFactor","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","SubWgt","SubsampleWeight","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HL","Survey","Survey","string",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HL","SweepLngt","SweepLength","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
